attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,date,field_type,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,other_info_string,start_time,venue
"16,169']",Philadelphia Phillies,1,10,4,https://www.baseball-reference.com/boxes/MIA/MIA201609060.shtml,"Tuesday, September 6, 2016",,: 3:00,"Night Game, on grass",Miami Marlins,0,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Lance Barrett, 1B - Pat Hoberg, 2B - Paul Nauert, 3B - Marty Foster.</div><div><strong>Time of Game:</strong> 3:00.</div>
<div><strong>Attendance:</strong> 16,169.</div>
<div><strong>Start Time Weather:</strong> 74&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 7:12 p.m. Local,: Marlins Park
"42,457']",Arizona Diamondbacks,0,4,2,https://www.baseball-reference.com/boxes/LAN/LAN201609060.shtml,"Tuesday, September 6, 2016",,: 2:49,"Night Game, on grass",Los Angeles Dodgers,0,11,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Doug Eddings, 1B - Stu Scheurwater, 2B - Jeff Nelson, 3B - Laz Diaz.</div><div><strong>Time of Game:</strong> 2:49.</div>
<div><strong>Attendance:</strong> 42,457.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 71&deg; F, Wind 4mph out to Rightfield, Sunny.</div>

    </div>

-->",Start Time: 7:10 p.m. Local,: Dodger Stadium
"22,437']",San Francisco Giants,0,8,3,https://www.baseball-reference.com/boxes/COL/COL201609060.shtml,"Tuesday, September 6, 2016",,: 3:02,"Night Game, on grass",Colorado Rockies,1,4,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - David Rackley, 1B - Chris Guccione, 2B - Paul Emmel, 3B - Larry Vanover.</div><div><strong>Time of Game:</strong> 3:02.</div>
<div><strong>Attendance:</strong> 22,437.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 75&deg; F, Wind 7mph in from Centerfield, Sunny.</div>

    </div>

-->",Start Time: 6:42 p.m. Local,: Coors Field
"11,023']",Houston Astros,1,7,4,https://www.baseball-reference.com/boxes/CLE/CLE201609060.shtml,"Tuesday, September 6, 2016",,: 3:03,"Night Game, on grass",Cleveland Indians,0,7,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - James Hoye, 1B - Marvin Hudson, 2B - Jim Joyce, 3B - Chad Fairchild.</div><div><strong>Time of Game:</strong> 3:03.</div>
<div><strong>Attendance:</strong> 11,023.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 84&deg; F, Wind 4mph from Left to Right, Sunny.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Progressive Field
"13,359']",New York Mets,1,8,5,https://www.baseball-reference.com/boxes/CIN/CIN201609060.shtml,"Tuesday, September 6, 2016",,: 3:08,"Night Game, on grass",Cincinnati Reds,1,5,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Nic Lentz, 1B - Mark Ripperger, 2B - Joe West, 3B - Andy Fletcher.</div><div><strong>Time of Game:</strong> 3:08.</div>
<div><strong>Attendance:</strong> 13,359.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 85&deg; F, Wind 10mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: Great American Ball Park
"15,155']",Detroit Tigers,0,7,0,https://www.baseball-reference.com/boxes/CHA/CHA201609060.shtml,"Tuesday, September 6, 2016",,: 2:54,"Night Game, on grass",Chicago White Sox,0,8,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tom Hallion, 1B - Dan Bellino, 2B - Phil Cuzzi, 3B - Adam Hamari.</div><div><strong>Time of Game:</strong> 2:54.</div>
<div><strong>Attendance:</strong> 15,155.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 91&deg; F, Wind 13mph out to Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 7:11 p.m. Local,: U.S. Cellular Field
"26,005']",Atlanta Braves,0,11,4,https://www.baseball-reference.com/boxes/WAS/WAS201609050.shtml,"Monday, September 5, 2016",,: 2:59,"Day Game, on grass",Washington Nationals,2,9,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Todd Tichenor, 1B - Carlos Torres, 2B - Rob Drake, 3B - Gerry Davis.</div><div><strong>Time of Game:</strong> 2:59.</div>
<div><strong>Attendance:</strong> 26,005.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 86&deg; F, Wind 5mph from Left to Right.</div>

    </div>

-->",Start Time: 4:06 p.m. Local,: Nationals Park
"12,256']",Baltimore Orioles,0,9,7,https://www.baseball-reference.com/boxes/TBA/TBA201609050.shtml,"Monday, September 5, 2016",,: 2:35,"Day Game, on turf",Tampa Bay Rays,1,2,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Manny Gonzalez, 1B - Jim Reynolds, 2B - Fieldin Culbreth, 3B - Clint Fagan.</div><div><strong>Time of Game:</strong> 2:35.</div>
<div><strong>Attendance:</strong> 12,256.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Tropicana Field
"23,618']",Texas Rangers,0,7,6,https://www.baseball-reference.com/boxes/SEA/SEA201609050.shtml,"Monday, September 5, 2016",,: 3:32,"Day Game, on grass",Seattle Mariners,0,14,14,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Dale Scott, 1B - Bob Davidson, 2B - Mike Muchlinski, 3B - Dan Iassogna.</div><div><strong>Time of Game:</strong> 3:32.</div>
<div><strong>Attendance:</strong> 23,618.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 63&deg; F, Wind 3mph in from Rightfield.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Safeco Field
"40,446']",Boston Red Sox,0,7,1,https://www.baseball-reference.com/boxes/SDN/SDN201609050.shtml,"Monday, September 5, 2016",,: 3:01,"Day Game, on grass",San Diego Padres,0,6,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Tony Randazzo, 1B - Bill Miller, 2B - Kerwin Danley, 3B - Ramon De Jesus.</div><div><strong>Time of Game:</strong> 3:01.</div>
<div><strong>Attendance:</strong> 40,446.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 74&deg; F, Wind 11mph from Left to Right, Cloudy.</div>

    </div>

-->",Start Time: 1:42 p.m. Local,: Petco Park
"26,297']",St. Louis Cardinals,0,14,12,https://www.baseball-reference.com/boxes/PIT/PIT201609050.shtml,"Monday, September 5, 2016",,: 3:25,"Day Game, on grass",Pittsburgh Pirates,2,12,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jordan Baker, 1B - Tim Timmons, 2B - Chris Conroy, 3B - Mike Everitt.</div><div><strong>Time of Game:</strong> 3:25.</div>
<div><strong>Attendance:</strong> 26,297.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 86&deg; F, Wind 3mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 4:09 p.m. Local,: PNC Park
"18,149']",Los Angeles Angels of Anaheim,0,14,10,https://www.baseball-reference.com/boxes/OAK/OAK201609050.shtml,"Monday, September 5, 2016",,: 3:44,"Day Game, on grass",Oakland Athletics,2,11,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Vic Carapazza, 1B - Ryan Blakney, 2B - D.J. Reyburn, 3B - Bill Welke.</div><div><strong>Time of Game:</strong> 3:44.</div>
<div><strong>Attendance:</strong> 18,149.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 67&deg; F, Wind 6mph out to Rightfield, Sunny.</div>

    </div>

-->",Start Time: 1:07 p.m. Local,: Oakland-Alameda County Coliseum
"42,141']",Toronto Blue Jays,0,8,3,https://www.baseball-reference.com/boxes/NYA/NYA201609050.shtml,"Monday, September 5, 2016",,: 2:49,"Day Game, on grass",New York Yankees,0,8,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mark Carlson, 1B - Mark Wegner, 2B - Quinn Wolcott, 3B - CB Bucknor.</div><div><strong>Time of Game:</strong> 2:49.</div>
<div><strong>Attendance:</strong> 42,141.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 74&deg; F, Wind 11mph in from Leftfield, Cloudy.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Yankee Stadium III
"20,992']",Kansas City Royals,0,16,11,https://www.baseball-reference.com/boxes/MIN/MIN201609050.shtml,"Monday, September 5, 2016",,: 3:24,"Day Game, on grass",Minnesota Twins,1,12,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ted Barrett, 1B - Chris Segal, 2B - Lance Barksdale, 3B - Angel Hernandez.</div><div><strong>Time of Game:</strong> 3:24.</div>
<div><strong>Attendance:</strong> 20,992.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 79&deg; F, Wind 10mph from Right to Left.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Target Field
"43,662']",Chicago Cubs,0,10,7,https://www.baseball-reference.com/boxes/MIL/MIL201609050.shtml,"Monday, September 5, 2016",,: 2:51,"Day Game, on grass",Milwaukee Brewers,2,6,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ron Kulpa, 1B - Will Little, 2B - Chad Whitson, 3B - Jerry Meals.</div><div><strong>Time of Game:</strong> 2:51.</div>
<div><strong>Attendance:</strong> 43,662.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 81&deg; F, Wind 11mph in from Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 12:11 p.m. Local,: Miller Park
"20,849']",Philadelphia Phillies,0,8,6,https://www.baseball-reference.com/boxes/MIA/MIA201609050.shtml,"Monday, September 5, 2016",,: 2:54,"Day Game, on grass",Miami Marlins,3,6,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Marty Foster, 1B - Lance Barrett, 2B - Pat Hoberg, 3B - Paul Nauert.</div><div><strong>Time of Game:</strong> 2:54.</div>
<div><strong>Attendance:</strong> 20,849.</div>
<div><strong>Start Time Weather:</strong> 79&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Marlins Park
"41,820']",Arizona Diamondbacks,0,4,2,https://www.baseball-reference.com/boxes/LAN/LAN201609050.shtml,"Monday, September 5, 2016",,: 3:12,"Night Game, on grass",Los Angeles Dodgers,0,11,10,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Laz Diaz, 1B - Doug Eddings, 2B - Stu Scheurwater, 3B - Jeff Nelson.</div><div><strong>Time of Game:</strong> 3:12.</div>
<div><strong>Attendance:</strong> 41,820.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 9mph out to Leftfield, Sunny.</div>

    </div>

-->",Start Time: 5:11 p.m. Local,: Dodger Stadium
"26,574']",San Francisco Giants,0,2,0,https://www.baseball-reference.com/boxes/COL/COL201609050.shtml,"Monday, September 5, 2016",,: 2:24,"Day Game, on grass",Colorado Rockies,0,6,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Larry Vanover, 1B - David Rackley, 2B - Chris Guccione, 3B - Paul Emmel.</div><div><strong>Time of Game:</strong> 2:24.</div>
<div><strong>Attendance:</strong> 26,574.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 87&deg; F, Wind 4mph in from Rightfield, Sunny.</div>

    </div>

-->",Start Time: 2:11 p.m. Local,: Coors Field
"18,169']",New York Mets,0,10,5,https://www.baseball-reference.com/boxes/CIN/CIN201609050.shtml,"Monday, September 5, 2016",,: 3:05,"Day Game, on grass",Cincinnati Reds,0,8,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Andy Fletcher, 1B - Nic Lentz, 2B - Mark Ripperger, 3B - Joe West.</div><div><strong>Time of Game:</strong> 3:05.</div>
<div><strong>Attendance:</strong> 18,169.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 85&deg; F, Wind 4mph in from Rightfield, Sunny.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Great American Ball Park
"18,653']",Detroit Tigers,0,9,5,https://www.baseball-reference.com/boxes/CHA/CHA201609050.shtml,"Monday, September 5, 2016",,: 3:56,"Day Game, on grass",Chicago White Sox,1,10,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Adam Hamari, 1B - Tom Hallion, 2B - Dan Bellino, 3B - Phil Cuzzi.</div><div><strong>Time of Game:</strong> 3:56.</div>
<div><strong>Attendance:</strong> 18,653.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 87&deg; F, Wind 13mph from Right to Left.</div>

    </div>

-->",Start Time: 3:11 p.m. Local,: U.S. Cellular Field
"46,025']",Houston Astros,0,11,7,https://www.baseball-reference.com/boxes/TEX/TEX201609040.shtml,"Sunday, September 4, 2016",,: 3:22,"Day Game, on grass",Texas Rangers,1,11,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jerry Layne, 1B - Alan Porter, 2B - Hunter Wendelstedt, 3B - Scott Barry.</div><div><strong>Time of Game:</strong> 3:22.</div>
<div><strong>Attendance:</strong> 46,025.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 90&deg; F, Wind 9mph in from Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 2:08 p.m. Local,: Globe Life Park in Arlington
"13,884']",Toronto Blue Jays,0,10,5,https://www.baseball-reference.com/boxes/TBA/TBA201609040.shtml,"Sunday, September 4, 2016",,: 3:18,"Day Game, on turf",Tampa Bay Rays,0,8,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Pat Hoberg, 1B - Jeff Kellogg, 2B - John Tumpane, 3B - Brian O'Nora.</div><div><strong>Time of Game:</strong> 3:18.</div>
<div><strong>Attendance:</strong> 13,884.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Tropicana Field
"24,033']",Los Angeles Angels of Anaheim,0,10,4,https://www.baseball-reference.com/boxes/SEA/SEA201609040.shtml,"Sunday, September 4, 2016",,: 3:00,"Day Game, on grass",Seattle Mariners,0,8,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Ramon De Jesus, 1B - Larry Vanover, 2B - David Rackley, 3B - Alfonso Marquez.</div><div><strong>Time of Game:</strong> 3:00.</div>
<div><strong>Attendance:</strong> 24,033.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 61&deg; F, Wind 2mph out to Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Safeco Field
"25,318']",Milwaukee Brewers,0,11,10,https://www.baseball-reference.com/boxes/PIT/PIT201609040.shtml,"Sunday, September 4, 2016",,: 3:10,"Day Game, on grass",Pittsburgh Pirates,2,6,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Clint Fagan, 1B - Mark Carlson, 2B - Brian Gorman, 3B - Quinn Wolcott.</div><div><strong>Time of Game:</strong> 3:10.</div>
<div><strong>Attendance:</strong> 25,318.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 81&deg; F, Wind 4mph out to Centerfield, Sunny.</div>

    </div>

-->",Start Time: 1:38 p.m. Local,: PNC Park
"21,322']",Atlanta Braves,0,8,2,https://www.baseball-reference.com/boxes/PHI/PHI201609040.shtml,"Sunday, September 4, 2016",,: 3:14,"Day Game, on grass",Philadelphia Phillies,0,5,0,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Mike Everitt, 1B - Jordan Baker, 2B - Tim Timmons, 3B - Chad Whitson.</div><div><strong>Time of Game:</strong> 3:14.</div>
<div><strong>Attendance:</strong> 21,322.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 78&deg; F, Wind 10mph in from Rightfield, Sunny.</div>

    </div>

-->",Start Time: 1:38 p.m. Local,: Citizens Bank Park
"25,139']",Boston Red Sox,2,6,0,https://www.baseball-reference.com/boxes/OAK/OAK201609040.shtml,"Sunday, September 4, 2016",,: 2:39,"Day Game, on grass",Oakland Athletics,1,2,1,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Brian Knight, 1B - Laz Diaz, 2B - Stu Scheurwater, 3B - Jeff Nelson.</div><div><strong>Time of Game:</strong> 2:39.</div>
<div><strong>Attendance:</strong> 25,139.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 65&deg; F, Wind 7mph out to Rightfield, Sunny.</div>

    </div>

-->",Start Time: 1:07 p.m. Local,: Oakland-Alameda County Coliseum
"30,257']",Washington Nationals,0,9,1,https://www.baseball-reference.com/boxes/NYN/NYN201609040.shtml,"Sunday, September 4, 2016",,: 2:59,"Night Game, on grass",New York Mets,0,9,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Jim Wolf, 1B - Adrian Johnson, 2B - Gary Cederstrom, 3B - Eric Cooper.</div><div><strong>Time of Game:</strong> 2:59.</div>
<div><strong>Attendance:</strong> 30,257.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 76&deg; F, Wind 10mph in from Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 8:08 p.m. Local,: Citi Field
"22,595']",Chicago White Sox,0,16,13,https://www.baseball-reference.com/boxes/MIN/MIN201609040.shtml,"Sunday, September 4, 2016",,: 4:46,"Day Game, on grass",Minnesota Twins,3,18,11,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Toby Basner, 1B - Greg Gibson, 2B - Dana DeMuth, 3B - Mike Estabrook.</div><div><strong>Time of Game:</strong> 4:46.</div>
<div><strong>Attendance:</strong> 22,595.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 77&deg; F, Wind 17mph from Right to Left.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Target Field
"46,441']",San Diego Padres,0,7,4,https://www.baseball-reference.com/boxes/LAN/LAN201609040.shtml,"Sunday, September 4, 2016",,: 3:09,"Day Game, on grass",Los Angeles Dodgers,1,9,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Chris Guccione, 1B - Vic Carapazza, 2B - Ryan Blakney, 3B - John Hirschbeck.</div><div><strong>Time of Game:</strong> 3:09.</div>
<div><strong>Attendance:</strong> 46,441.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 76&deg; F, Wind 2mph from Left to Right, Cloudy.</div>

    </div>

-->",Start Time: 1:10 p.m. Local,: Dodger Stadium
"34,616']",Detroit Tigers,0,13,6,https://www.baseball-reference.com/boxes/KCA/KCA201609040.shtml,"Sunday, September 4, 2016",,: 3:19,"Day Game, on grass",Kansas City Royals,0,7,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Chris Conroy, 1B - Paul Nauert, 2B - Ron Kulpa, 3B - Jerry Meals.</div><div><strong>Time of Game:</strong> 3:19.</div>
<div><strong>Attendance:</strong> 34,616.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 80&deg; F, Wind 11mph from Right to Left, Cloudy.</div>

    </div>

-->",Start Time: 1:17 p.m. Local,: Kauffman Stadium
"31,981']",Arizona Diamondbacks,1,10,8,https://www.baseball-reference.com/boxes/COL/COL201609040.shtml,"Sunday, September 4, 2016",,: 3:20,"Day Game, on grass",Colorado Rockies,0,11,5,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Cory Blaser, 1B - Tony Randazzo, 2B - Bill Miller, 3B - Tom Woodring.</div><div><strong>Time of Game:</strong> 3:20.</div>
<div><strong>Attendance:</strong> 31,981.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 86&deg; F, Wind 7mph from Left to Right, Cloudy.</div>

    </div>

-->",Start Time: 2:10 p.m. Local,: Coors Field
"25,910']",Miami Marlins,0,11,5,https://www.baseball-reference.com/boxes/CLE/CLE201609040.shtml,"Sunday, September 4, 2016",,: 3:43,"Day Game, on grass",Cleveland Indians,2,10,6,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Joe West, 1B - Andy Fletcher, 2B - Nic Lentz, 3B - Mark Ripperger.</div><div><strong>Time of Game:</strong> 3:43.</div>
<div><strong>Attendance:</strong> 25,910.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 78&deg; F, Wind 13mph in from Centerfield, Sunny.</div>

    </div>

-->",Start Time: 4:11 p.m. Local,: Progressive Field
"26,985']",St. Louis Cardinals,0,5,5,https://www.baseball-reference.com/boxes/CIN/CIN201609040.shtml,"Sunday, September 4, 2016",,: 2:56,"Day Game, on grass",Cincinnati Reds,2,11,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Angel Hernandez, 1B - Will Little, 2B - Ted Barrett, 3B - Lance Barksdale.</div><div><strong>Time of Game:</strong> 2:56.</div>
<div><strong>Attendance:</strong> 26,985.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 81&deg; F, Wind 2mph in unknown direction, Sunny.</div>

    </div>

-->",Start Time: 1:11 p.m. Local,: Great American Ball Park
"41,293']",San Francisco Giants,0,4,2,https://www.baseball-reference.com/boxes/CHN/CHN201609040.shtml,"Sunday, September 4, 2016",,: 4:23,"Day Game, on grass",Chicago Cubs,1,10,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Phil Cuzzi, 1B - Adam Hamari, 2B - Tom Hallion, 3B - Dan Bellino.</div><div><strong>Time of Game:</strong> 4:23.</div>
<div><strong>Attendance:</strong> 41,293.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 76&deg; F, Wind 8mph out to Leftfield, Cloudy.</div>

    </div>

-->",Start Time: 1:22 p.m. Local,: Wrigley Field
"31,161']",New York Yankees,0,7,5,https://www.baseball-reference.com/boxes/BAL/BAL201609040.shtml,"Sunday, September 4, 2016",,: 3:17,"Day Game, on grass",Baltimore Orioles,1,6,2,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Gerry Davis, 1B - Todd Tichenor, 2B - Carlos Torres, 3B - Paul Emmel.</div><div><strong>Time of Game:</strong> 3:17.</div>
<div><strong>Attendance:</strong> 31,161.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 73&deg; F, Wind 7mph in from Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 1:38 p.m. Local,: Oriole Park at Camden Yards
"35,538']",Houston Astros,0,11,4,https://www.baseball-reference.com/boxes/TEX/TEX201609030.shtml,"Saturday, September 3, 2016",,: 3:27,"Day Game, on grass",Texas Rangers,0,16,12,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Scott Barry, 1B - Jerry Layne, 2B - Alan Porter, 3B - Hunter Wendelstedt.</div><div><strong>Time of Game:</strong> 3:27.</div>
<div><strong>Attendance:</strong> 35,538.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 87&deg; F, Wind 7mph from Left to Right, Cloudy.</div>

    </div>

-->",Start Time: 3:09 p.m. Local,: Globe Life Park in Arlington
"14,353']",Toronto Blue Jays,0,6,5,https://www.baseball-reference.com/boxes/TBA/TBA201609030.shtml,"Saturday, September 3, 2016",,: 3:06,"Night Game, on turf",Tampa Bay Rays,0,13,7,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Brian O'Nora, 1B - Pat Hoberg, 2B - Jeff Kellogg, 3B - John Tumpane.</div><div><strong>Time of Game:</strong> 3:06.</div>
<div><strong>Attendance:</strong> 14,353.</div>
<div><strong>Start Time Weather:</strong> 72&deg; F, Wind 0mph, In Dome.</div>

    </div>

-->",Start Time: 6:10 p.m. Local,: Tropicana Field
"20,357']",Los Angeles Angels of Anaheim,0,15,10,https://www.baseball-reference.com/boxes/SEA/SEA201609030.shtml,"Saturday, September 3, 2016",,: 2:54,"Night Game, on grass",Seattle Mariners,1,9,3,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Alfonso Marquez, 1B - Ramon De Jesus, 2B - Larry Vanover, 3B - David Rackley.</div><div><strong>Time of Game:</strong> 2:54.</div>
<div><strong>Attendance:</strong> 20,357.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 66&deg; F, Wind 8mph out to Rightfield, Cloudy.</div>

    </div>

-->",Start Time: 6:10 p.m. Local,: Safeco Field
"26,637']",Milwaukee Brewers,1,14,7,https://www.baseball-reference.com/boxes/PIT/PIT201609030.shtml,"Saturday, September 3, 2016",,: 3:45,"Night Game, on grass",Pittsburgh Pirates,0,9,4,"<!--  
    <div class=""section_content"" id=""div_6350237457"">
<div><strong>Umpires:</strong> HP - Quinn Wolcott, 1B - Clint Fagan, 2B - Mark Carlson, 3B - Brian Gorman.</div><div><strong>Time of Game:</strong> 3:45.</div>
<div><strong>Attendance:</strong> 26,637.</div>
<div><strong>Field Condition:</strong> Unknown.</div>
<div><strong>Start Time Weather:</strong> 76&deg; F, Wind 7mph in from Centerfield, Cloudy.</div>

    </div>

-->",Start Time: 7:07 p.m. Local,: PNC Park
